year,individualCount,gemeente,provincie,gewest,gbifID,decimalLatitude,decimalLongitude,geometry
2021,1,Spiere-Helkijn,West-Vlaanderen,flanders,3780766338,50.72053,3.3642,"c(3.3642, 50.72053)"
2021,1,Sint-Laureins,Oost-Vlaanderen,flanders,3780766339,51.26413,3.63572,"c(3.63572, 51.26413)"
2021,1,Neerpelt,Limburg,flanders,3780766366,51.26095,5.42086,"c(5.42086, 51.26095)"
2021,1,Maldegem,Oost-Vlaanderen,flanders,3780766397,51.23739,3.45728,"c(3.45728, 51.23739)"
2021,2,Damme,West-Vlaanderen,flanders,3780766409,51.28968,3.32523,"c(3.32523, 51.28968)"
2021,1,Waregem,West-Vlaanderen,flanders,3780766423,50.87632,3.3764,"c(3.3764, 50.87632)"
2021,1,Alveringem,West-Vlaanderen,flanders,3780766463,50.91336,2.60641,"c(2.60641, 50.91336)"
2021,1,Alveringem,West-Vlaanderen,flanders,3780766481,50.95224,2.69972,"c(2.69972, 50.95224)"
2021,1,Zemst,Vlaams-Brabant,flanders,3780766524,50.96544,4.46505,"c(4.46505, 50.96544)"
2021,1,Geldenaken,Waals-Brabant,wallonia,3780766533,50.77128,4.8974,"c(4.8974, 50.77128)"
2021,3,Huldenberg,Vlaams-Brabant,flanders,3780766541,50.79118,4.64054,"c(4.64054, 50.79118)"
2021,1,Poperinge,West-Vlaanderen,flanders,3780766546,50.93302,2.64423,"c(2.64423, 50.93302)"
2021,1,Zomergem,Oost-Vlaanderen,flanders,3780766593,51.12719,3.56526,"c(3.56526, 51.12719)"
2021,1,Sint-Laureins,Oost-Vlaanderen,flanders,3780766605,51.26788,3.52741,"c(3.52741, 51.26788)"
2021,1,Wervik,West-Vlaanderen,flanders,3780766635,50.78065,3.06166,"c(3.06166, 50.78065)"
2021,2,Spiere-Helkijn,West-Vlaanderen,flanders,3780766643,50.72303,3.36608,"c(3.36608, 50.72303)"
2021,2,Celles,Henegouwen,wallonia,3780766655,50.7506,3.43468,"c(3.43468, 50.7506)"
2021,2,Zwalm,Oost-Vlaanderen,flanders,3780766670,50.87759,3.74555,"c(3.74555, 50.87759)"
2021,3,Celles,Henegouwen,wallonia,3780766703,50.7506,3.43468,"c(3.43468, 50.7506)"
2021,4,Sint-Laureins,Oost-Vlaanderen,flanders,3780766713,51.26435,3.63985,"c(3.63985, 51.26435)"
2021,1,Deerlijk,West-Vlaanderen,flanders,3780766816,50.84404,3.36104,"c(3.36104, 50.84404)"
2021,2,Diksmuide,West-Vlaanderen,flanders,3780766921,51.0723,2.81035,"c(2.81035, 51.0723)"
2021,1,Sint-Laureins,Oost-Vlaanderen,flanders,3780766966,51.26641,3.67131,"c(3.67131, 51.26641)"
2021,2,Overijse,Vlaams-Brabant,flanders,3780767023,50.75012,4.56741,"c(4.56741, 50.75012)"
2021,1,Dentergem,West-Vlaanderen,flanders,3780767055,50.92926,3.44589,"c(3.44589, 50.92926)"
2021,6,Oudenaarde,Oost-Vlaanderen,flanders,3780767060,50.87766,3.62692,"c(3.62692, 50.87766)"
2021,5,Sint-Laureins,Oost-Vlaanderen,flanders,3780767076,51.26599,3.65791,"c(3.65791, 51.26599)"
2021,6,Zomergem,Oost-Vlaanderen,flanders,3780767117,51.15956,3.54658,"c(3.54658, 51.15956)"
2021,2,Maldegem,Oost-Vlaanderen,flanders,3780767156,51.23744,3.4577,"c(3.4577, 51.23744)"
2021,1,Graven,Waals-Brabant,wallonia,3780767216,50.74467,4.64972,"c(4.64972, 50.74467)"
2021,2,Dentergem,Oost-Vlaanderen,flanders,3780767313,50.93274,3.42985,"c(3.42985, 50.93274)"
2021,1,Menen,West-Vlaanderen,flanders,3780767440,50.79638,3.13816,"c(3.13816, 50.79638)"
2021,1,Hal,Vlaams-Brabant,flanders,3780767523,50.70888,4.21809,"c(4.21809, 50.70888)"
2021,3,Sint-Laureins,Oost-Vlaanderen,flanders,3780767532,51.24948,3.53982,"c(3.53982, 51.24948)"
2021,4,Deerlijk,West-Vlaanderen,flanders,3780767552,50.84662,3.34489,"c(3.34489, 50.84662)"
2021,5,Diksmuide,West-Vlaanderen,flanders,3780767586,51.04706,2.83946,"c(2.83946, 51.04706)"
2021,2,Poperinge,West-Vlaanderen,flanders,3780767615,50.92909,2.63669,"c(2.63669, 50.92909)"
2021,2,Graven,Waals-Brabant,wallonia,3780767661,50.77483,4.63863,"c(4.63863, 50.77483)"
2021,1,Herne,Vlaams-Brabant,flanders,3780767752,50.69769,4.01301,"c(4.01301, 50.69769)"
2021,1,Neerpelt,Limburg,flanders,3780767798,51.2583,5.41926,"c(5.41926, 51.2583)"
2021,1,Spiere-Helkijn,West-Vlaanderen,flanders,3780767807,50.71993,3.35575,"c(3.35575, 50.71993)"
2021,1,Sint-Laureins,Oost-Vlaanderen,flanders,3780767818,51.26348,3.62633,"c(3.62633, 51.26348)"
2021,2,Wervik,West-Vlaanderen,flanders,3780767828,50.77109,3.03588,"c(3.03588, 50.77109)"
2021,1,Geraardsbergen,Oost-Vlaanderen,flanders,3780767867,50.74237,3.89639,"c(3.89639, 50.74237)"
2021,4,Huldenberg,Vlaams-Brabant,flanders,3780767869,50.79118,4.64102,"c(4.64102, 50.79118)"
2021,1,Damme,West-Vlaanderen,flanders,3780767886,51.2891,3.31682,"c(3.31682, 51.2891)"
2021,1,Veurne,West-Vlaanderen,flanders,3780767891,51.04945,2.68516,"c(2.68516, 51.04945)"
2021,1,Sint-Laureins,Oost-Vlaanderen,flanders,3780767894,51.26974,3.58891,"c(3.58891, 51.26974)"
2021,1,Deerlijk,West-Vlaanderen,flanders,3780767922,50.84524,3.36757,"c(3.36757, 50.84524)"
2021,1,Damme,West-Vlaanderen,flanders,3780767927,51.27126,3.30477,"c(3.30477, 51.27126)"
2021,1,Veurne,West-Vlaanderen,flanders,3780767935,51.02379,2.62503,"c(2.62503, 51.02379)"
2021,1,Sint-Laureins,Oost-Vlaanderen,flanders,3780767956,51.25746,3.57674,"c(3.57674, 51.25746)"
2021,1,Huldenberg,Vlaams-Brabant,flanders,3780768053,50.76875,4.6415,"c(4.6415, 50.76875)"
2021,2,Diksmuide,West-Vlaanderen,flanders,3780768062,50.99137,2.85991,"c(2.85991, 50.99137)"
2021,1,Oud-Heverlee,Vlaams-Brabant,flanders,3780768129,50.83803,4.65381,"c(4.65381, 50.83803)"
2021,2,Diksmuide,West-Vlaanderen,flanders,3780768130,50.99188,2.8482,"c(2.8482, 50.99188)"
2021,2,Sint-Laureins,Oost-Vlaanderen,flanders,3780768161,51.27205,3.54889,"c(3.54889, 51.27205)"
2021,1,Diksmuide,West-Vlaanderen,flanders,3780768220,50.98702,2.85207,"c(2.85207, 50.98702)"
2021,1,Assenede,Oost-Vlaanderen,flanders,3780768249,51.26368,3.7602,"c(3.7602, 51.26368)"
2021,1,Sint-Laureins,Oost-Vlaanderen,flanders,3780768268,51.26222,3.60952,"c(3.60952, 51.26222)"
2021,1,Sint-Laureins,Oost-Vlaanderen,flanders,3780768342,51.28821,3.52372,"c(3.52372, 51.28821)"
2021,9,Willebroek,Antwerpen,flanders,3780768398,51.05812,4.39255,"c(4.39255, 51.05812)"
2021,1,Waregem,West-Vlaanderen,flanders,3780768444,50.87978,3.43179,"c(3.43179, 50.87978)"
2021,2,Diksmuide,West-Vlaanderen,flanders,3780768446,51.09067,2.79881,"c(2.79881, 51.09067)"
