id,fr
'S Gravenbrakel_title,Braine-le-Comte
2041-2070_title,2041-2070
2071-2100_title,2071-2100
AE_title,Nid embryonnaire actif
AP_title,Nid primaire actif
AS_title,Nid secondaire actif
Aalst_title,Alost
Aalter_title,NA
Aarlen_title,Arlon
Aarschot_title,NA
Aartselaar_title,NA
Aat_title,Ath
Ad hoc alien species checklist_title,Ad hoc alien species checklist
Affligem_title,NA
Africa_title,Afrique
Aiseau-Presles_title,NA
Alien Bird Checklist_title,Alien Bird Checklist
Alien Fish Flanders_title,Alien Fish Flanders
Alien Macroinverts_title,Alien Macroinverts
Alien Mollusc checklist_title,Alien Mollusc checklist
Alken_title,NA
Alveringem_title,NA
Amay_title,NA
Amel_title,Amblève
Americas_title,Amérique
Andenne_title,NA
Anderlecht_title,NA
Anderlues_title,NA
Anhee_title,NA
Ans_title,NA
Anthisnes_title,NA
Antoing_title,NA
Antwerpen_title,Anvers
Anzegem_title,NA
Ardooie_title,NA
Arendonk_title,NA
As_title,NA
Asia_title,Asie
Asse_title,NA
Assenede_title,NA
Assesse_title,NA
Attert_title,NA
Aubange_title,NA
Aubel_title,NA
Australia and New Zealand_title,Australie et Nouvelle-Zélande
Avelgem_title,NA
Awans_title,NA
Aywaille_title,NA
Baarle-Hertog_title,Baerle-Duc
Baelen_title,NA
Balen_title,Baelen
Baseline_title,Climat actuel (baseline)
Bastenaken_title,Bastogne
Beaumont_title,NA
Beauraing_title,NA
Beernem_title,NA
Beerse_title,NA
Beersel_title,NA
Begijnendijk_title,NA
Behandeling_title,Traitement
Bekkevoort_title,NA
Belgian rust fungi_title,Belgian rust fungi
België_title,Belgique
Beloeil_title,NA
Bergen_title,Mons
Beringen_title,NA
Berlaar_title,NA
Berlare_title,NA
Berloz_title,NA
Bernissart_title,NA
Bertem_title,NA
Bertogne_title,NA
Bertrix_title,NA
Bevekom_title,Beauvechin
Bever_title,Biévène
Beveren_title,NA
Beyne-Heusay_title,NA
Bierbeek_title,NA
Bievre_title,NA
Bilzen_title,NA
Binche_title,NA
Bitsingen_title,Bassenge
Blankenberge_title,NA
Blegny_title,NA
Bocholt_title,NA
Boechout_title,NA
Bonheiden_title,NA
Boom_title,NA
Boortmeerbeek_title,NA
Borgloon_title,Looz
Borgworm_title,Waremme
Bornem_title,NA
Borsbeek_title,NA
Bouillon_title,NA
Boussu_title,NA
Boutersem_title,NA
Braives_title,NA
Brakel_title,NA
Brasschaat_title,NA
Brecht_title,NA
Bredene_title,NA
Bree_title,NA
Brugelette_title,NA
Brugge_title,Bruges
Brunehaut_title,NA
Brussel_title,Bruxelles
Buellingen_title,NA
Buggenhout_title,NA
Burdinne_title,NA
Burg-Reuland_title,NA
Bütgenbach_title,Butgenbach
Capture_title,capture
Caribbean_title,Caraïbes
Celles_title,NA
Central America_title,Amérique centrale
Central Asia_title,Asie centrale
Cerfontaine_title,NA
Chapelle-Lez-Herlaimont_title,NA
Charleroi_title,NA
Chastre_title,NA
Chatelet_title,NA
Chaudfontaine_title,NA
Chaumont-Gistoux_title,NA
Chievres_title,NA
Chimay_title,NA
Chiny_title,NA
Ciney_title,NA
Clavier_title,NA
Colfontaine_title,NA
Comblain-Au-Pont_title,NA
Courcelles_title,NA
Court-Saint-Etienne_title,NA
Couvin_title,NA
Crisnee_title,NA
Current_title,Période actuelle
Dalhem_title,NA
Damme_title,NA
Daverdisse_title,NA
De Haan_title,NA
De Panne_title,La Panne
De Pinte_title,NA
Deerlijk_title,NA
Deinze_title,NA
Denderleeuw_title,NA
Dendermonde_title,Termonde
Dentergem_title,NA
Dessel_title,NA
Destelbergen_title,NA
Diepenbeek_title,NA
Diest_title,NA
Diksmuide_title,Dixmude
Dilbeek_title,NA
Dilsen-Stokkem_title,NA
Dinant_title,NA
Dison_title,NA
Doische_title,NA
Donceel_title,NA
Doornik_title,Tournai
Dour_title,NA
Drogenbos_title,NA
Duffel_title,NA
Durbuy_title,NA
Early_alert_dashboard_description,"Ce tableau de bord interactif a été développé dans le cadre du projet européen LIFE RIPARIAS et rassemble des données GBIF sur 15 espèces exotiques envahissantes des milieux riverains et des cours d’eau, ainsi que des données sur toutes les espèces de la liste de l’Union. Il permet aux gestionnaires locaux de consulter les observations et de configurer des alertes par e-mail pour des espèces et des zones spécifiques."
Early_alert_dashboard_title,Early alert
Eastern Africa_title,Afrique de l'Est
Eastern Asia_title,Asie de l'Est
Eastern Europe_title,Europe de l'Est
Ecaussinnes_title,NA
Edegem_title,NA
Edingen_title,Enghien
Eeklo_title,NA
Eghezee_title,NA
Eigenbrakel_title,Braine-l'Alleud
Elsene_title,Ixelles
Elzele_title,Ellezelles
Engis_title,NA
Erezee_title,NA
Erpe-Mere_title,NA
Erquelinnes_title,NA
Esneux_title,NA
Essen_title,NA
Estaimpuis_title,NA
Estinnes_title,NA
Etalle_title,NA
Etterbeek_title,NA
Eupen_title,NA
Europe_title,Europe
Evere_title,NA
Evergem_title,NA
Faimes_title,NA
Farciennes_title,NA
Fauvillers_title,NA
Fernelmont_title,NA
Ferrieres_title,NA
Fexhe-Le-Haut-Clocher_title,NA
Flemalle_title,NA
Fleron_title,NA
Fleurus_title,NA
Floreffe_title,NA
Florenne_title,NA
Florenville_title,NA
Fontaine-L'eveque_title,NA
Fosses-La-Ville_title,NA
Frameries_title,NA
Frasnes-Lez-Anvaing_title,NA
Froidchapelle_title,NA
Galmaarden_title,Gammerages
Ganshoren_title,NA
Gavere_title,NA
Gedinne_title,NA
Geel_title,NA
Geer_title,NA
Geetbets_title,NA
Geldenaken_title,Jodoigne
Gembloux_title,NA
Genepien_title,Genappe
Genk_title,NA
Gent_title,Gand
Geraardsbergen_title,Grammont
Gerpinnes_title,NA
Gesves_title,NA
Gingelom_title,NA
Gistel_title,NA
Glabbeek_title,NA
Gooik_title,NA
Gouvy_title,NA
Grace-Hollogne_title,NA
Graven_title,Grez-Doiceau
Grimbergen_title,NA
Grobbendonk_title,NA
Haacht_title,NA
Haaltert_title,NA
Habay_title,NA
Hal_title,NA
Halen_title,NA
Ham-Sur-Heure-Nalinnes_title,NA
Ham_title,NA
Hamme_title,NA
Hamoir_title,NA
Hamois_title,NA
Hamont-Achel_title,NA
Hannuit_title,Hannut
Harelbeke_title,NA
Hasselt_title,NA
Hastiere_title,NA
Havelange_title,NA
Hechtel-Eksel_title,NA
Heers_title,NA
Heist-Op-Den-Berg_title,NA
Helecine_title,NA
Hemiksem_title,NA
Henegouwen_title,Hainaut
Hensies_title,NA
Herbeumont_title,NA
Herent_title,NA
Herentals_title,NA
Herenthout_title,NA
Herk-De-Stad_title,Herck-la-Ville
Herne_title,NA
Heron_title,NA
Herselt_title,NA
Herstal_title,NA
Herstappe_title,NA
Herve_title,NA
Herzele_title,NA
Heusden-Zolder_title,NA
Heuvelland_title,NA
Hoegaarden_title,NA
Hoei_title,Huy
Hoeilaart_title,NA
Hoeselt_title,NA
