observation_jaar,prov,aantal_gemelde_nesten
2017,West-Vlaanderen,1
2018,West-Vlaanderen,2
2019,Antwerpen,1
2019,Henegouwen,1
2019,Namen,1
2019,Oost-Vlaanderen,2
2019,Vlaams-Brabant,1
2019,West-Vlaanderen,2
2020,Antwerpen,1
2020,Henegouwen,2
2020,Oost-Vlaanderen,10
2020,Vlaams-Brabant,1
2020,West-Vlaanderen,11
2021,Antwerpen,3
2021,Henegouwen,4
2021,Limburg,2
2021,Oost-Vlaanderen,3
2021,Vlaams-Brabant,3
2021,West-Vlaanderen,13
2022,Antwerpen,15
2022,Henegouwen,1
2022,Limburg,8
2022,Oost-Vlaanderen,49
2022,Vlaams-Brabant,43
2022,Waals-Brabant,1
2022,West-Vlaanderen,72
2023,Antwerpen,111
2023,Henegouwen,2
2023,HoofdstedelijkGewest,2
2023,Limburg,26
2023,Luik,1
2023,Oost-Vlaanderen,303
2023,Vlaams-Brabant,153
2023,West-Vlaanderen,248
2024,Antwerpen,346
2024,Henegouwen,2
2024,HoofdstedelijkGewest,4
2024,Limburg,53
2024,Luxemburg,1
2024,Oost-Vlaanderen,355
2024,Vlaams-Brabant,201
2024,West-Vlaanderen,261
