checklist_scientificName	english_name	checklist_kingdom	backbone_taxonKey	backbone_taxonomicStatus
Acacia saligna	Golden wreath wattle	Plantae	2978552	ACCEPTED
Acridotheres tristis	Common myna	Animalia	2489005	ACCEPTED
Ailanthus altissima	Tree of heaven	Plantae	3190653	ACCEPTED
Alopochen aegyptiacus	Egyptian goose	Animalia	2498252	ACCEPTED
Alternanthera philoxeroides	Alligator weed	Plantae	3084923	ACCEPTED
Ameiurus melas	Black bullhead	Animalia	2340977	ACCEPTED
Andropogon virginicus	Broomsedge bluestem	Plantae	2706080	ACCEPTED
Arthurdendyus triangulatus	New Zealand flatworm	Animalia	2502792	ACCEPTED
Asclepias syriaca	Common milkweed	Plantae	3170247	ACCEPTED
Axis axis	axis deer	Animalia	2440934	ACCEPTED
Baccharis halimifolia	Eastern baccharis	Plantae	3129663	ACCEPTED
Cabomba caroliniana	Fanwort	Plantae	2882443	ACCEPTED
Callosciurus erythraeus	Pallas' squirrel	Animalia	2437394	ACCEPTED
Callosciurus finlaysonii	Finlayson's squirrel	Animalia	2437399	ACCEPTED
Cardiospermum grandiflorum	Balloon vine	Plantae	3189935	ACCEPTED
Celastrus orbiculatus	Oriental bittersweet	Plantae	3169169	ACCEPTED
Channa argus	northern snakehead	Animalia	4284921	ACCEPTED
Cortaderia jubata	Purple pampas grass	Plantae	2704521	ACCEPTED
Corvus splendens	Indian house crow	Animalia	2482499	ACCEPTED
Ehrharta calycina	Perrenial veldt grass	Plantae	2702865	ACCEPTED
Eichhornia crassipes	Water hyacinth	Plantae	2765940	ACCEPTED
Elodea nuttallii	Nuttall's waterweed	Plantae	5329212	ACCEPTED
Eriocheir sinensis	Chinese mittencrab	Animalia	2225776	ACCEPTED
Faxonius rusticus	rusty crayfish	Animalia	8979506	ACCEPTED
Fundulus heteroclitus	mummichog	Animalia	5712056	ACCEPTED
Gambusia affinis	western mosquitofish	Animalia	2350580	ACCEPTED
Gambusia holbrooki	eastern mosquitofish	Animalia	2350570	ACCEPTED
Gunnera tinctoria	Chilean rhubarb	Plantae	2984306	ACCEPTED
Gymnocoronis spilanthoides	Senegal tea plant	Plantae	6063677	ACCEPTED
Hakea sericea	bushy needlewood	Plantae	7287606	ACCEPTED
Heracleum mantegazzianum	Giant hogweed	Plantae	3034825	ACCEPTED
Heracleum persicum	Persian hogweed	Plantae	8000520	ACCEPTED
Heracleum sosnowskyi	Sosnowsky's hogweed	Plantae	3642949	ACCEPTED
Herpestes javanicus	Small Asian mongoose	Animalia	2434271	ACCEPTED
Humulus scandens	Japanese hop	Plantae	2984537	ACCEPTED
Hydrocotyle ranunculoides	Floating pennywort	Plantae	7978544	ACCEPTED
Impatiens glandulifera	Himalayan balsam	Plantae	2891770	ACCEPTED
Koenigia polystachya	Himalayan knotweed	Plantae	8848208	ACCEPTED
Lagarosiphon major	Curly waterweed	Plantae	2865565	ACCEPTED
Lampropeltis getula	common kingsnake	Animalia	5224480	ACCEPTED
Lepomis gibbosus	Pumpkinseed	Animalia	2394486	ACCEPTED
Lespedeza cuneata	Chinese bushclover	Plantae	8114276	ACCEPTED
Limnoperna fortunei	golden mussel	Animalia	5855350	ACCEPTED
Lithobates catesbeianus	American bullfrog	Animalia	2427091	ACCEPTED
Ludwigia grandiflora	Water-primrose	Plantae	5421039	ACCEPTED
Ludwigia peploides	Floating primrose-willow	Plantae	5420991	ACCEPTED
Lygodium japonicum	Vine-like fern	Plantae	2650436	ACCEPTED
Lysichiton americanus	American skunk cabbage	Plantae	2869311	ACCEPTED
Microstegium vimineum	Japanese stiltgrass	Plantae	5289808	ACCEPTED
Morone americana	white perch	Animalia	2394604	ACCEPTED
Muntiacus reevesi	Muntjac deer	Animalia	2440946	ACCEPTED
Myocastor coypus	Coypu	Animalia	4264680	ACCEPTED
Myriophyllum aquaticum	Parrot's feather	Plantae	5361785	ACCEPTED
Myriophyllum heterophyllum	Broadleaf watermilfoil	Plantae	5361762	ACCEPTED
Nasua nasua	Coati rode	Animalia	2433536	ACCEPTED
Nyctereutes procyonoides	Raccoon dog	Animalia	2434552	ACCEPTED
Ondatra zibethicus	Muskrat	Animalia	5219858	ACCEPTED
Orconectes limosus	Spiny-cheek crayfish	Animalia	2227000	ACCEPTED
Orconectes virilis	Virile crayfish	Animalia	2227064	ACCEPTED
Oxyura jamaicensis	Ruddy duck	Animalia	2498305	ACCEPTED
Pacifastacus leniusculus	Signal crayfish	Animalia	2226990	ACCEPTED
Parthenium hysterophorus	Whitetop weed	Plantae	3086784	ACCEPTED
Pennisetum setaceum	Crimson fountaingrass	Plantae	2706134	ACCEPTED
Perccottus glenii	Amur sleeper	Animalia	2390064	ACCEPTED
Persicaria perfoliata	Asiatic tearthumb	Plantae	4033648	ACCEPTED
Pistia stratiotes	water lettuce	Plantae	2870583	ACCEPTED
Plotosus lineatus	Striped eel catfish	Animalia	7965247	ACCEPTED
Procambarus clarkii	Red swamp crayfish	Animalia	2227300	ACCEPTED
Procambarus fallax virginalis	Marbled crayfish	Animalia	8879526	ACCEPTED
Procyon lotor	Raccoon	Animalia	5218786	ACCEPTED
Prosopis juliflora	Mesquite	Plantae	5358460	ACCEPTED
Pseudorasbora parva	Stone moroko	Animalia	2362868	ACCEPTED
Pueraria montana lobata	Kudzu vine	Plantae	2977647	ACCEPTED
Pycnonotus cafer	red-vented bulbul	Animalia	2486131	ACCEPTED
Rugulopteryx okamurae	algae stomp	Chromista	5824863	ACCEPTED
Salvinia molesta	Salvinia moss	Plantae	5274861	ACCEPTED
Sciurus carolinensis	Grey squirrel	Animalia	5219681	ACCEPTED
Sciurus niger	Fox squirrel	Animalia	5219683	ACCEPTED
Solenopsis geminata	tropical imported fire ant	Animalia	5035187	ACCEPTED
Solenopsis invicta	red imported fire ant	Animalia	5035230	ACCEPTED
Solenopsis richteri	black imported fire ant	Animalia	5035017	ACCEPTED
Tamias sibiricus	Siberian chipmunk	Animalia	2437450	ACCEPTED
Threskiornis aethiopicus	Sacred ibis	Animalia	2480764	ACCEPTED
