key	nubKey	canonicalName	first_observed	last_observed	class	kingdom
159748482	1002621	Keratella tropica	1974	1974	Eurotatoria	Animalia
159748469	1007534	Phaeostachys spinifera	1999	2000	Gymnolaemata	Animalia
159748473	1008610	Haplopoma graniferum	1999	2006	Gymnolaemata	Animalia
159748474	1008612	Haplopoma impressum	1999	2006	Gymnolaemata	Animalia
152544653	1010644	Hanseniella caldaria	2018	2018	Symphyla	Animalia
152544645	1013526	Cylindroiulus britannicus	2015	2015	Diplopoda	Animalia
152544627	1031512	Liposcelis brunnea	2018	2018	Insecta	Animalia
152544628	1031520	Liposcelis bostrychophila	2018	2018	Insecta	Animalia
152544630	1031524	Liposcelis paeta	2018	2018	Insecta	Animalia
152544607	1031564	Psoquilla marginepunctata	2018	2018	Insecta	Animalia
152544616	1031677	Trogium pulsatorium	2018	2018	Insecta	Animalia
152544620	1031680	Cerobasis annulata	2018	2018	Insecta	Animalia
152544613	1031685	Lepinotus reticulatus	2018	2018	Insecta	Animalia
152544600	1031743	Dorypteryx pallida	2018	2018	Insecta	Animalia
152544591	1032262	Enderleinellus kumadai	2004	2011	Insecta	Animalia
152544587	1032377	Hoplopleura erismata	2004	2011	Insecta	Animalia
152544545	1043978	Stelidota geminata	2018	2018	Insecta	Animalia
182134456	1194885	Otiorhynchus meridionalis	2003	2018	Insecta	Animalia
182134455	1194989	Otiorhynchus cribricollis	2002	2018	Insecta	Animalia
182134454	1195013	Otiorhynchus aurifer	1999	2018	Insecta	Animalia
152544520	1319260	Tetraponera allaborans	1980	2018	Insecta	Animalia
152544508	1321805	Pheidole bilimeki	1911	2018	Insecta	Animalia
152544459	1419894	Euborellia annulipes	2016	2018	Insecta	Animalia
152544422	1420197	Aleurodothrips fasciapennis	2018	2018	Insecta	Animalia
152544448	1420612	Scirtothrips longipennis	2018	2018	Insecta	Animalia
152544453	1420765	Chaetanaphothrips orchidii	2018	2018	Insecta	Animalia
152544436	1420769	Aurantothrips orchidaceus	2018	2018	Insecta	Animalia
152544438	1420791	Leucothrips nigripennis	2018	2018	Insecta	Animalia
152544441	1420795	Heliothrips haemorrhoidalis	2018	2018	Insecta	Animalia
152544443	1420828	Hercinothrips bicinctus	2018	2018	Insecta	Animalia
152544445	1420829	Hercinothrips femoralis	2018	2018	Insecta	Animalia
152544431	1420846	Echinothrips americanus	2018	2018	Insecta	Animalia
152544428	1420857	Parthenothrips dracaenae	2018	2018	Insecta	Animalia
152544412	1422818	Pseudagrion microcephalum	2011	2012	Insecta	Animalia
182134330	1548900	Dohrniphora cornuta	2005	2005	Insecta	Animalia
182134322	1551754	Phytomyza jucunda	2015	2019	Insecta	Animalia
152544309	1941864	Paysandisia archon	2011	2011	Insecta	Animalia
159748101	2110811	Mytilicola intestinalis	1950	1950	Hexanauplia	Animalia
159748106	2114326	Eurytemora americana			Hexanauplia	Animalia
182134126	2114769	Pseudodiaptomus marinus	2015	2015	Hexanauplia	Animalia
159748091	2115724	Balanus trigonus			Maxillopoda	Animalia
152544238	2138649	Mermessus denticulatus	1997	1997		Animalia
152544229	2140406	Triaeris stenaspis	2018	2018		Animalia
152544246	2141241	Callobius nomeus	2014	2014		Animalia
152544257	2145078	Macrothele calpeiana	2008	2014		Animalia
152544253	2148040	Thanatus vulgaris	1999	1999		Animalia
152544202	2149847	Spermophora senoculata	1998	1998		Animalia
152544210	2149911	Pholcus	2015	2015		Animalia
152544212	2149992	Pholcus opilionoides	2003	2006		Animalia
152544221	2152822	Phoneutria nigriventer	1986	1987		Animalia
152544179	2153442	Brachypelma albopilosum	1986	1986		Animalia
152544182	2153712	Grammostola rosea	2008	2008		Animalia
152544186	2153759	Phormictopus cancerides	2008	2008		Animalia
152544188	2153791	Chaetopelma olivaceum	2011	2011		Animalia
152544194	2155557	Selenops radiatus	2004	2004		Animalia
152544145	2155807	Euryopis episinoides	2002	2002		Animalia
152544152	2157278	Steatoda paykulliana	1999	2002		Animalia
152544161	2157335	Hadrotarsus ornatus	1999	1999		Animalia
152544167	2157928	Latrodectus hasselti	1999	1999		Animalia
152544170	2157942	Latrodectus hesperus	2013	2013		Animalia
152544168	2157944	Latrodectus geometricus	2006	2006		Animalia
152544165	2157949	Latrodectus mactans	1967	2017		Animalia
152544141	2157984	Nesticodes rufipes	2004	2004		Animalia
152544093	2158821	Neoscona nautica	2001	2001		Animalia
152544085	2161467	Cerbalus	2000	2000		Animalia
152544080	2161710	Heteropoda venatoria	1999	2016		Animalia
152544084	2161911	Nolavia	2016	2016		Animalia
152544081	2162003	Olios	2011	2011		Animalia
152544083	2162049	Olios argelasius	2011	2011		Animalia
152544070	2162464	Uroctea durandi	2018	2018		Animalia
152544075	2162525	Oecobius amboseli	2007	2013		Animalia
152544131	2164194	Cheiracanthium furculatum	2013	2013		Animalia
152544118	2171214	Plexippus paykulli	2001	2001		Animalia
152544122	2172103	Heliophanus kochii	2006	2006		Animalia
152544112	2172282	Pellenes geniculatus	2001	2001		Animalia
152544108	2174528	Saitis barbipes	2006	2013		Animalia
152544105	2176168	Phidippus	2009	2009		Animalia
152543911	2202641	Reductoniscus costulatus	2015	2018	Malacostraca	Animalia
152543907	2202786	Synarmadillo	2015	2018	Malacostraca	Animalia
152543904	2203165	Cordioniscus stebbingi	1907	2018	Malacostraca	Animalia
152543929	2204831	Synidotea laticauda	2005	2016	Malacostraca	Animalia
152543918	2209044	Nagurus cristatus	2015	2017	Malacostraca	Animalia
182134074	2219149	Grandidierella japonica	2019	2019	Malacostraca	Animalia
182134080	2220417	Neomysis americana	2012	2012	Malacostraca	Animalia
182134007	2223840	Penaeus aztecus	2018	2018	Malacostraca	Animalia
159747996	2228667	Sinelobus stanfordi			Malacostraca	Animalia
159747961	2266009	Cordylophora caspia			Hydrozoa	Animalia
152543820	2284443	Mastophorus	2004	2011	Secernentea	Animalia
152543744	2286079	Crassostrea virginica	1960	2017	Bivalvia	Animalia
154367717	2287073	Dreissena bugensis	2009	2016	Bivalvia	Animalia
152543797	2287668	Mercenaria mercenaria	1933	2016	Bivalvia	Animalia
152543766	2288859	Psiloteredo megotara	1600	2016	Bivalvia	Animalia
152543750	2288946	Mya arenaria	1700	2016	Bivalvia	Animalia
156872873	2292567	Cipangopaludina chinensis	2016	2017	Gastropoda	Animalia
157092291	2294131	Allopeas clavulinum	2003	2003	Gastropoda	Animalia
157092306	2295309	Hawaiia minuscula	2003	2003	Gastropoda	Animalia
157092310	2295425	Zonitoides arboreus	2003	2003	Gastropoda	Animalia
162644714	2296801	Cernuella virgata	1867	1867	Gastropoda	Animalia
152543656	2296805	Trochoidea elegans	1976	2018	Gastropoda	Animalia
152543699	2308541	Limnodrilus cervix	2009	2016	Clitellata	Animalia
182133944	2308549	Limnodrilus maumeensis	2014	2014	Clitellata	Animalia
152543695	2308605	Potamothrix vejdovskyi	2009	2016	Clitellata	Animalia
159747758	2320810	Boccardia proboscidea	2011	2011	Polychaeta	Animalia
159747756	2320998	Boccardiella hamata	2011	2011	Polychaeta	Animalia
182133960	2321001	Boccardiella ligerica			Polychaeta	Animalia
152543510	2351064	Coregonus nasus			Actinopterygii	Animalia
